objectid,filename,youtubeid,title,date,date is approximate?,description,subject,location,degree-latitude,degree-longitude,format,latitude,longitude
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0247,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0247.jpg,,IMAG0247.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0249,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0249.jpg,,IMAG0249.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0251,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0251.jpg,,IMAG0251.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0253,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0253.jpg,,IMAG0253.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0255,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0255.jpg,,IMAG0255.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0257,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0257.jpg,,IMAG0257.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0259,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0259.jpg,,IMAG0259.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0261,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0261.jpg,,IMAG0261.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0263,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0263.jpg,,IMAG0263.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0265,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-LittleSnowyridgefunnel-IMAG0265.jpg,,IMAG0265.jpg,,,,,Salmo-Priest Critical Habitat;Little Snowy Ridge Funnel,,,image/jpg,48.977655,-117.001221
